Name,Tooth ID,Day 0,Day 30,Day 60,Rostral_0,Buccal_0,Distal_0,Palatal_0,Gingival Recession_0,Bleeding Assessment_0,Aver_Day0,Rostral_30,Buccal_30,Distal_30,Palatal_30,Gingival Recession_30,Bleeding Assessment_30,Aver_Day30,Rostral_60,Buccal_60,Distal_60,Palatal_60,Gingival Recession_60,Bleeding Assessment_60,Aver_Day60
Gunner,303,0,30,60,3,4,5,4,0,2,4,3,4,4,3,0,2,3.5,3,4,3,3,0,2,3.25
Gunner,304,0,30,60,3,3,3,3,0,2,3,3,3,3,3,0,2,3,3,3,3,3,0,0,3
Gunner,305,0,30,60,1,1,3,3,0,0,2,1,1,2,3,0,2,1.75,1,1,2,2,0,0,1.5
Gunner,306,0,30,60,1,1,1,1,0,2,1,1,1,1,3,0,2,1.5,1,1,1,2,0,2,1.25
Gunner,307,0,30,60,1,1,3,1,0,2,1.5,1,1,3,1,0,2,1.5,1,1,2,1,0,2,1.25
Gunner,308,0,30,60,2,2,4,2,0,2,2.5,2,2,4,1,0,2,2.25,1,2,3,1,0,2,1.75
Gunner,309,0,30,60,3,2,2,1,0,2,2,3,2,2,1,0,2,2,3,2,2,1,0,2,2
Gunner,310,0,30,60,1,2,2,2,0,1,1.75,1,2,2,2,0,2,1.75,1,1,1,1,0,2,1
Gunner,311,0,30,60,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,2,1,0,0,1.25
Kirby,110,0,30,60,1,1,1,1,0,2,1,1,1,1,1,0,2,1,2,2,2,1,0,2,1.75
Kirby,109,0,30,60,3,2,2,3,0,2,2.5,3,2,2,2,0,2,2.25,3,2,1,1,0,2,1.75
Kirby,108,0,30,60,3,3,4,1,0,2,2.75,3,2,3,1,0,2,2.25,3,1,2,1,0,2,1.75
Kirby,107,0,30,60,3,1,4,2,0,2,2.5,3,1,3,1,0,2,2,3,1,3,1,0,2,2
Kirby,106,0,30,60,2,1,2,3,0,2,2,1,1,1,3,0,2,1.5,1,1,1,1,0,2,1
Kirby,105,0,30,60,1,1,1,3,0,2,1.5,1,1,1,2,0,2,1.25,1,1,1,1,0,2,1
