Subject Name,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment
Gunner,210,0,2,2,2,2,0,2
Gunner,210,30,1,1,1,1,0,2
Gunner,210,60,1,1,1,1,0,2
Gunner,411,0,1,1,1,1,0,0
Gunner,411,30,1,1,1,1,0,0
Gunner,411,60,1,1,1,1,0,0
Gunner,410,0,1,3,3,1,0,1
Gunner,410,30,1,2,3,1,0,0
Gunner,410,60,1,2,2,1,0,2
Gunner,409,0,3,4,3,3,0,2
Gunner,409,30,3,3,3,2,0,2
Gunner,409,60,2,2,3,2,0,2
Gunner,408,0,2,2,4,3,0,2
Gunner,408,30,1,1,4,3,0,2
Gunner,408,60,1,1,3,2,0,2
Gunner,407,0,1,1,3,1,0,2
Gunner,407,30,1,1,3,1,0,2
Gunner,407,60,1,1,2,1,0,2
Gunner,406,0,3,1,2,2,0,2
Gunner,406,30,3,1,1,1,0,2
Gunner,406,60,2,1,1,1,0,2
Gunner,405,0,2,1,3,3,0,0
Gunner,405,30,1,1,3,3,0,2
Gunner,405,60,1,1,2,2,0,2
Gunner,404,0,4,3,3,3,0,2
Gunner,404,30,2,3,3,2,0,2
Gunner,404,60,2,2,3,2,0,2
Gunner,403,0,4,1,3,3,0,2
Gunner,403,30,4,1,2,3,0,2
Gunner,403,60,4,1,2,2,0,2
Gunner,402,0,3,2,2,3,0,0
Gunner,402,30,3,1,2,2,0,2
Gunner,402,60,2,1,2,2,0,2
Gunner,401,0,4,1,3,2,0,0
Gunner,401,30,3,1,1,2,0,2
Gunner,401,60,1,1,1,2,0,2
Gunner,301,0,5,4,5,6,1,2
Gunner,301,30,5,4,5,5,1,0
Gunner,301,60,5,4,5,3,0,2
Gunner,302,0,3,1,3,2,0,2
Gunner,302,30,3,1,3,2,0,2
Gunner,302,60,3,1,2,2,0,2
Gunner,303,0,3,4,5,4,0,2
Gunner,303,30,3,4,4,3,0,2
Gunner,303,60,3,4,3,3,0,2
Gunner,304,0,3,3,3,3,0,2
Gunner,304,30,3,3,3,3,0,2
Gunner,304,60,3,3,3,3,0,0
Gunner,305,0,1,1,3,3,0,0
Gunner,305,30,1,1,2,3,0,2
Gunner,305,60,1,1,2,2,0,0
Gunner,306,0,1,1,1,1,0,2
Gunner,306,30,1,1,1,3,0,2
Gunner,306,60,1,1,1,2,0,2
Gunner,307,0,1,1,3,1,0,2
Gunner,307,30,1,1,3,1,0,2
Gunner,307,60,1,1,2,1,0,2
Gunner,308,0,2,2,4,2,0,2
Gunner,308,30,2,2,4,1,0,2
Gunner,308,60,1,2,3,1,0,2
Gunner,309,0,3,2,2,1,0,2
Gunner,309,30,3,2,2,1,0,2
Gunner,309,60,3,2,2,1,0,2
Gunner,310,0,1,2,2,2,0,1
Gunner,310,30,1,2,2,2,0,2
Gunner,310,60,1,1,1,1,0,2
Gunner,311,0,1,1,1,1,0,1
Gunner,311,30,1,1,1,1,0,0
Gunner,311,60,1,1,2,1,0,0
Kirby,110,0,2,2,2,2,0,2
Kirby,110,30,1,1,1,1,0,2
Kirby,110,60,2,2,2,1,0,2
Kirby,109,0,1,2,2,2,0,2
Kirby,109,30,2,3,3,1,0,2
Kirby,109,60,2,1,1,1,0,2
Kirby,108,0,2,3,2,1,0,2
Kirby,108,30,3,1,1,1,0,2
Kirby,108,60,1,1,1,1,0,2
Kirby,107,0,3,1,3,2,0,2
Kirby,107,30,3,1,1,2,0,2
Kirby,107,60,1,1,1,1,0,2
Kirby,106,0,2,1,3,3,0,2
Kirby,106,30,1,1,2,2,0,2
Kirby,106,60,1,1,2,2,0,2
Kirby,105,0,2,1,2,1,0,2
Kirby,105,30,2,1,2,1,0,2
Kirby,105,60,2,1,2,1,0,2
Kirby,104,0,4,4,4,4,0,2
Kirby,104,30,4,3,4,4,0,2
Kirby,104,60,4,3,4,4,0,2
Kirby,103,0,3,2,2,3,0,2
Kirby,103,30,3,1,1,1,0,2
Kirby,103,60,3,1,1,1,0,2
Kirby,102,0,4,1,3,2,0,1
Kirby,102,30,2,1,2,1,0,2
Kirby,102,60,2,1,1,1,0,2
Kirby,101,0,3,1,2,1,0,2
Kirby,101,30,2,1,2,1,0,2
Kirby,101,60,1,1,2,1,0,2
Kirby,201,0,4,2,2,1,0,2
Kirby,201,30,3,2,2,1,0,2
Kirby,201,60,1,1,1,1,0,2
Kirby,,,,,,,,
